0.568907	0.610744	0.643999	0.7009	0.821699	0.855157	0.866689	0.872758	0.937564	0.95441	
0.179401	0.188506	0.42399	0.499887	0.506543	0.519041	0.540769	0.554217	0.573878	0.575146	
0.232291	0.275252	0.34724	0.391255	0.430592	0.572468	0.592112	0.605742	0.661282	0.664917	
0.0985202	0.20759	0.478863	0.498669	0.719791	0.741071	0.746796	0.766937	0.935597	0.950264	
0.715096	0.810306	0.86954	0.987247	1.06884	1.09779	1.12809	1.14714	1.15166	1.16142	
0.828155	0.972423	0.989886	1.1983	1.24385	1.29836	1.30236	1.32101	1.33257	1.3477	
0.24884	0.568855	0.658504	0.717724	0.735638	0.903331	0.908361	0.931935	0.953284	0.984295	
0.12349	0.157515	0.207149	0.352632	0.386388	0.524913	0.53913	0.711295	0.762606	0.763288	
0.255452	0.302592	0.390462	0.391785	0.398613	0.450496	0.522766	0.549297	0.624299	0.681824	
1.10902	1.40074	1.73955	1.78966	1.92437	1.95799	1.96569	1.97966	1.99974	2.11395	
